TikTok Metadata,,,,,,,,,,,,Song Metadata,,,,,Time Length,,,BPM,,Lyrics,,,,,,
Song Rank,Link,Video File Name,Creator,Follower Count,Category,Verified?,Like Count,View Count,Like Count (M),View Count (M),Post Date,Name,Artist,Genre,Release Year,"Notes (remixed, another audio overlayed, etc)",Length of Song,Clip Timestamp,Clip Length (sec),Avg BPM of Full Song,Avg BPM of Clip,Full - Total word #,Full - Total unique word#,Full - Repetition Ratio,Clip - Total word #,Clip - Total unique word#,Clip - Repetition Ratio,Clip Location
1,https://www.tiktok.com/@amarianiyaa/video/7504118311492373802?_r=1&_t=ZT-95Btcfv8Xkr,PrettyLittleBaby_1,@amarianiyaa,"164,800",Wholesome/Emotional,0,21.4M,115.5M,21.4,115.5,5/13/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:47,16,121,121,199,70,0.6482,52,36,0.3077,Verse
1,https://www.tiktok.com/@christiecharm/video/7498816166710791442?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_2,@christiecharm,"2,600,000",Lip Sync,0,12.5M,90.5M,12.5,90.5,4/29/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:44,13,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@oceanicglow3/video/7535666693339630903?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_3,@oceanicglow3,"1,000,000",Animals,0,9.5M,117.2M,9.5,117.2,8/6/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:37,66,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@ciklalyfernandez06/video/7500459815567789358?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_4,@ciklalyfernandez06,"1,100,000",Lip Sync,0,8M,70M,8,70,5/4/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:40,9,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@brijoles_/video/7503685598272589099?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_5,@brijoles_,"113,200",Animals,0,7.1M,36.1M,7.1,36.1,5/12/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:43,12,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@bubblesbobita/video/7507252992047992107?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_6,@bubblesbobita,"53,400",Animals,0,6.5M,27.4M,6.5,27.4,5/22/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:40,9,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@sammielys/video/7512585614978649390?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_7,@sammielys,"7,100",Aesthetic,0,4.9M,33.5M,4.9,33.5,6/5/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:44,13,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@couture.to.the.max/video/7514349771985833262?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_8,@couture.to.the.max,"3,700,000",Aesthetic,0,4.9M,39.8M,4.9,39.8,6/10/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:32,61,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@animalsbehaviour/video/7530143812136602911?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_9,@animalsbehaviour,"655,600",Animals,0,4.4M,38.9M,4.4,38.9,7/23/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:31,60,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@brookemonk_/video/7504411471988804894?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_10,@brookemonk_,"46,500,000",Tutorial,1,4.3M,34.3M,4.3,34.3,5/14/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:46,15,121,,199,70,0.6482,,,,Verse
2,https://www.tiktok.com/@bben9450/video/7523242837467598102?_r=1&_t=ZT-95BtYuVmUfu,HoldMyHand_1,@bben9450,"192,900",Humor,0,42.2M,344.2M,42.2,344.2,7/4/25,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:54,5,123,,196,84,0.5714,40,25,0.3750,Chorus
2,https://www.tiktok.com/@ogsyde/video/7533031324186086678?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_2,@ogsyde,"123,200",Animals,0,20.6M,216.4M,20.6,216.4,7/30/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:55,6,123,,196,,,,,,
2,https://www.tiktok.com/@eagleyes2/video/7539696675376450830?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_3,@eagleyes2,"45,600",Humor,0,17.2M,179.2M,17.2,179.2,8/17/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 1:11,22,123,,196,,,,,,
2,https://www.tiktok.com/@lovedby4bxnia/video/7529657626947374349?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_4,@lovedby4bxnia,"54,500",Humor,0,16.7M,129.3M,16.7,129.3,7/21/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:54,5,123,,196,,,,,,
2,https://www.tiktok.com/@outdoor_comp/video/7529744962682948870?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_5,@outdoor_comp,"114,800",Humor,0,16.7M,380.4M,16.7,380.4,7/22/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:56,7,123,,196,,,,,,
2,https://www.tiktok.com/@d5l1ko/video/7523981366543879446?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_6,@d5l1ko,"28,500",Humor,0,16.3M,173.8M,16.3,173.8,7/6/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:57,8,123,,196,,,,,,
2,https://www.tiktok.com/@nenepet99/video/7518009850849447175?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_7,@nenepet99,"39,000",Humor,0,15.6M,163.7M,15.6,163.7,6/20/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:57,8,123,,196,,,,,,
2,https://www.tiktok.com/@abigailmstowe/video/7516946864562965762?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_8,@abigailmstowe,"18,100",Humor,0,15.2M,91.5M,15.2,91.5,6/17/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 1:02,13,123,,196,,,,,,
2,https://www.tiktok.com/@sawyers.8._/video/7541049936268233990?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_9,@sawyers.8._,"57,500",Humor,0,14.5M,162.2M,,,8/21/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:58,9,123,,196,,,,,,
2,https://www.tiktok.com/@dvolchenko08/video/7527751737021713670,HoldMyHand_10,@dvolchenko08,"32,000",Humor,0,14M,132.3M,,,7/16/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:58,9,123,,,,,,,,
3,https://www.tiktok.com/t/ZTk6emP8N/,RockThatBody_1,@pomkori,"2,800,000",Animals,0,10.4M,66.8M,10.4,66.8,6/25/2025,Rock That Body,Black Eyed Peas,Electropop,2009,Lumarii Remix,3:56,0:30 - 0:41,11,125,129,666,156,0.7658,26,15,0.4231,Pre-Chorus
3,https://www.tiktok.com/@aselmustafaeva7/video/7535857596809645330?_r=1&_t=ZT-95gFyxVBYS5,RockThatBody_2,@aselmustafaeva7,"4,900,000",Lip Sync,0,6.5M,77.7M,6.5,77.7,8/7/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:41,15,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvruMD/,RockThatBody_3,@lianaparmezana,"6,400,000",Lip Sync,0,4.3M,123.5M,4.3,123.5,8/17/2025,Rock That Body,Black Eyed Peas,Black Eyed Peas,2009,,3:56,0:26 - 0:39,13,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvjubS/,RockThatBody_4,@clixx.editzz,"38,100",Edit,0,4.1M,30.3M,4.1,30.3,6/10/2025,Rock That Body,Black Eyed Peas,Electropop,2009,Lumarii Remix,3:56,0:31 - 0:45,14,,,,,,,,,Pre Chorus
3,https://www.tiktok.com/t/ZTkuv5uKF/,RockThatBody_5,@sixtyrich,"5,600,000",Lip Sync,0,3.8M,28.4M,3.8,28.4,9/9/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:37,11,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvu7HB/,RockThatBody_6,@fluttaflyz,"691,900",Hair + Makeup,0,3.7M,42.2M,3.7,42.2,6/8/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,1:03 - 2:03,60,,,,,,,,,Verse 1 + Verse 2 + Refrain + Pre-Chorus + Chorus + Post Chorus
3,https://www.tiktok.com/t/ZTkuvBxPD/,RockThatBody_7,@maligoshik,"7,700,000",Unboxing,0,3.4M,61.1M,3.4,61.1,8/23/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:34,8,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvUxtB/,RockThatBody_8,@soulfromash,"3,700,000",Lip Sync,0,3.3M,28.2M,3.3,28.2,8/19/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:37,11,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvkJqF/,RockThatBody_9,@yusufkart1koo,"1,000,000",Lip Sync,0,3.1M,23.1M,3.1,23.1,7/23/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:41,15,,,,,,,,,Intro + Pre Chorus
3,https://www.tiktok.com/t/ZTkuvEunW/,RockThatBody_10,@mehrdnan,"243,600",Lip Sync,0,2.9M,21.8M,2.9,21.8,7/28/2025,Rock That Body,Black Eyed Peas,Electropop,2009,,3:56,0:26 - 0:41,15,,,,,,,,,Intro + Pre Chorus
4,https://www.tiktok.com/t/ZTk6dYaNt/,Azul_1,@jennifer.coppen,"16,600,000",Dance,0,3.8M,52.9M,3.8,52.9,3/27/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:38,12,94,150,453,159,0.6490,24,23,0.0417,Chorus
4,https://www.tiktok.com/@sirrr.r/video/7472452094134373654?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,Azul_2,@sirrr.r,"2,300,000",Dance,0,3.4M,32.1M,3.4,32.1,2/17/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:36,10,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTkuc3RRp/,Azul_3,@mlplvr666,"135,500",Dance,0,3.3M,30M,3.3,30,2/25/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:36,10,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTkucnS59/,Azul_4,@valucervantes,"1,500,000",Dance,0,3.1M,38.2M,3.1,38.2,2/22/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:37,11,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTkucQBBd/,Azul_5,@regisoftball,"19,100",Dance,0,2.7M,25.3M,2.7,25.3,2/17/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:36,10,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTku3UPnu/,Azul_6,@isaknows,"59,600",Dance,0,2.6M,19.5M,2.6,19.5,3/22/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:37,11,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTku38Y3D/,Azul_7,@didelinax,"203,400",Tutorial,0,2.5M,29.2M,2.5,29.2,4/21/2024,Azul,J Balvin,Reggaeton,2020,"Audio stops halfaway, cut video off",3:26,0:26 - 1:26,60,,,,,,,,,Chorus + Verse 1
4,https://www.tiktok.com/t/ZTku3rp7M/,Azul_8,@lukas.urkijo,"9,800,000",Dance,0,2.4M,25.9M,2.4,25.9,2/18/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:41,15,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTkbfCvhh/,Azul_9,@lukas.urkijo,"9,800,000",Dance,0,2.4M,19M,2.4,19,2/7/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:32,6,,,,,,,,,Chorus
4,https://www.tiktok.com/t/ZTkbPhBtC/,Azul_10,@7mb_itma,"84,300",Dance,0,2.4M,51.4M,2.4,51.4,2/16/2025,Azul,J Balvin,Reggaeton,2020,,3:26,0:26 - 0:38,12,,,,,,,,,Chorus
5,https://www.tiktok.com/t/ZTk6B4FbT/,DameUnGrrr_1,@3kittycatss,"509,200",Animals,0,41.1M,377.1M,41.1,377.1,6/24/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,2:13,0:00 - 0:06,6,118,118,215,64,0.7023,15,5,0.6667,Chorus
5,https://www.tiktok.com/t/ZTkhWV5um/,DameUnGrrr_2,@mariqueo.ok,"231,500",Animals,0,15.3M,215.4M,15.3,215.4,6/19/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,0:00 - 0:06,6,,,,,,,,,
5,https://www.tiktok.com/t/ZTkhW5gQa/,DameUnGrrr_3,@sulumotion,"1,700,000",Lip Sync,0,6.8M,49.6M,6.8,49.6,6/18/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,Slowed down remix,,0:00 - 0:09,9,,,,,,,,,
5,https://www.tiktok.com/t/ZTkhWSsUL/,DameUnGrrr_4,@sulumotion,"1,700,000",Lip Sync,0,5.6M,39.1M,5.6,39.1,6/12/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,Slowed down remix,,0:00 - 0:09,9,,,,,,,,,
5,https://www.tiktok.com/t/ZTkhWuMH6/,DameUnGrrr_5,@daniolmo,"3,000,000",Lip Sync,0,5.4M,56.1M,5.4,56.1,6/22/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,0:00 - 0:11,11,,,,,,,,,
5,https://www.tiktok.com/t/ZTkhWSCLa/,UNAVILABLE,UNAVAILABLE,UNAVAILABLE,Hair + Makeup,0,4.5M,220.5M,4.5,220.5,6/21/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,,#VALUE!,,,,,,,,,
5,https://www.tiktok.com/t/ZTkhWbwac/,DameUnGrrr_7,@koyinaur,"85,700",Edit,0,4.3M,44.6M,4.3,44.6,6/5/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,0:00 - 0:09,9,,,,,,,,,
5,https://www.tiktok.com/t/ZTkkbc47E/,DameUnGrrr_8,@edgardo.moreno484,"35,000",Animals,0,4.3M,42.9M,4.3,42.9,6/9/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,0:00 - 0:09,9,,,,,,,,,
5,https://www.tiktok.com/t/ZTkkbGpy9/,DameUnGrrr_9,@candedelvalle6,"32,300",Animals,0,4.1M,46.4M,4.1,46.4,6/21/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,,,0:00 - 0:06,6,,,,,,,,,
5,https://www.tiktok.com/t/ZTkkbmyCR/,DameUnGrrr_10,@jtr0kvj0,"28,600",Animals,0,4M,28.9M,4,28.9,6/13/2025,Dame Un Grrr,Fantomel and Kate Linn,Pop,2025,Slowed down remix,,0:00 - 0:06,6,,,,,,,,,
6,https://www.tiktok.com/@mooo_ayz_yy/video/7427451081657191726,APT_1,@mooo_ayz_yy,"52,100",Animals,0,9.3M,71.9M,9.3,71.9,10/19/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,APT segment,2:49,0:06 - 0:16,10,149,149,340,95,0.7206,15,3,0.8000,Chorus
6,https://www.tiktok.com/t/ZTkkbxWgG/,APT_2,@ronielaspiras,"141,700",Dance,0,8.1M,70.6M,8.1,70.6,12/7/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,2:49,0:30 - 0:51,21,,149,,,,51,32,0.3725,"Verse 1, Pre-Chorus, Chorus"
6,https://www.tiktok.com/t/ZTkkbxmFU/,APT_3,@brunomars,"16,200,000",Lip Sync,0,7.1M,125.6M,7.1,125.6,10/18/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,APT segment,2:49,0:06 - 0:18,12,,,,,,,,,
6,https://www.tiktok.com/t/ZTkkgLj3B/,APT_4,@roses_are_rosie,"53,000,000",Dance,0,5.2M,56.9M,5.2,56.9,11/18/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,APT segment,2:49,0:06 - 0:12,6,,,,,,,,,
6,https://www.tiktok.com/t/ZTkkgLuh1/,APT_5,@felixbrngs,"687,700",Dance,0,5M,74.6M,5,74.6,10/22/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,2:49,0:29 - 0:52,23,,,,,,,,,
6,https://www.tiktok.com/t/ZTkkgYwyt/,APT_6,@andreebonifacioo,"7,100,000",Lip Sync,0,5M,44.9M,5,44.9,10/31/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,2:49,0:32 - 0:59,27,,,,,,,,,
6,https://www.tiktok.com/t/ZTkkgjgJv/,APT_7,@fujiiian,"38,900,000",Lip Sync,0,5M,80.8M,5,80.8,11/1/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,,2:09 - 2:30,21,,,,,,,,,
6,https://www.tiktok.com/t/ZTkkgFLUB/,APT_8,@genboy3,N/A,Dance,0,4.9M,75.8M,4.9,75.8,10/30/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,,0:29 - 0:52,23,,,,,,,,,
6,https://www.tiktok.com/t/ZTkb5mSUC/,APT_9,@andreebonifacioo,"7,100,000",Animals,0,4.6M,47.3M,4.6,47.3,10/28/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,APT segment,,0:03 - 0:13,10,,,,,,,,,
6,https://www.tiktok.com/t/ZTkb5jsGK/,APT_10,,,Dance,0,4.6M,128.4M,4.6,128.4,12/2/2024,APT.,ROSÉ & Bruno Mars,Pop,2024,dance segment,,0:30 - 0:51,,,,,,,,,,
7,https://www.tiktok.com/@beth...cast/video/7488521489092726021?_r=1&_t=ZT-95BZLTJiAKU,TeQueriaVer_1,@beth...cast,"16,800,000",Dance,0,5.3M,38.9M,5.3,38.9,4/1/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:47 ,14,100,100,336,173,0.4851,35,12,0.6571,Verse 2
7,https://www.tiktok.com/t/ZTkBcuHQn/,TeQueriaVer_2,@szaismymom7,"21,200",Humor,0,4.2M,30.2M,4.2,30.2,3/30/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:42,9,100,100,336,173,0.4851,35,12,0.6571,Verse 2
7,https://www.tiktok.com/t/ZTkBcMMDs/,TeQueriaVer_3,@katteyes,"45,300,000",Dance,1,3.5M,37.6M,3.5,37.6,3/22/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:48,15,100,100,336,173,0.4851,35,12,0.6571,Verse 2
7,https://www.tiktok.com/t/ZTkBcamvt/,TeQueriaVer_4,@orlenaodette,"6,800,000",Dance,0,3.4M,39.4M,3.4,39.4,3/24/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:48,15,100,100,336,173,0.4851,35,12,0.6571,Verse 2
7,https://www.tiktok.com/t/ZTkBcN528/,TeQueriaVer_5,@orlenaodette,"6,800,000",Dance,0,2.9M,32.2M,2.9,32.2,3/18/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:48,15,100,100,336,173,0.4851,35,12,0.6571,Verse 2
