Song Name,BPM,Energy,Danceability,Happiness
Pretty Little Baby,121,40,78,63
Hold My Hand,123,82,64,43
Rock That Body,125,91,72,84
Azul,94,84,84,65
Dame Un Grrr,118,83,90,90
APT.,149,78,78,94
Te Quería Ver,100,76,80,45
Stecu Stecu,103,83,83,91
Anxiety,129,59,81,89
Sailor Song,95,41,49,27
Shake It To The Max,98,41,85,29
Ocean Eyes,145,37,48,16
No One Noticed,98,30,63,35
back to friends,93,72,44,24
Sparks,103,27,37,17
That's So True,109,81,55,37
Let Down,102,68,35,14
Suave,120,84,85,40
My Darling,115,49,83,62
We Hug Now,120,33,37,21
,,,,
"Energy: How intense and active the track is, based on general entropy, onset rate, timbre, perceived loudness, and dynamic range. (out of 100)",,,,
"Danceability: How appropriate the track is for dancing based on overall regularity, beat strength, rhythm stability, and tempo. (out of 100)",,,,
Happiness: How cheerful and positive the track is. (out of 100),,,,